Date,Open,High,Low,Close,Adj Close,Volume
2016-07-01,3.360000,3.610000,3.210000,3.310000,2.738727,140099341
2016-08-01,3.310000,4.580000,3.300000,4.450000,3.681974,271057188
2016-09-01,4.470000,5.540000,4.240000,5.150000,4.261161,471467111
2016-10-01,5.200000,6.030000,5.110000,5.670000,4.736174,192676149
2016-11-01,5.670000,6.660000,5.670000,6.110000,5.103708,250561056
2016-12-01,6.200000,6.400000,5.000000,5.220000,4.360287,157917706
2017-01-01,5.220000,6.060000,5.050000,5.820000,4.861469,107249387
2017-02-01,5.800000,6.200000,5.480000,5.490000,4.585819,138753287
2017-03-01,5.520000,11.040000,5.420000,10.780000,9.004577,1043629258
2017-04-01,10.880000,12.600000,9.430000,11.840000,9.890000,618696471
2017-05-01,11.840000,13.080000,10.220000,10.620000,8.915422,687113586
2017-06-01,10.600000,13.180000,10.600000,12.040000,10.107505,565468657
2017-07-01,12.100000,14.300000,11.420000,13.160000,11.047738,419415349
2017-08-01,13.100000,14.060000,11.420000,12.260000,10.292193,530989115
2017-09-01,12.260000,12.460000,9.650000,10.460000,8.781105,390782452
2017-10-01,10.460000,11.700000,10.460000,10.460000,8.939712,220506298
2017-11-01,10.480000,10.860000,7.440000,7.650000,6.538126,349506159
2017-12-01,7.690000,8.780000,7.350000,8.440000,7.213305,288652673
2018-01-01,8.440000,9.540000,8.300000,8.690000,7.426969,312165168
2018-02-01,8.710000,10.060000,7.350000,10.000000,8.546570,244979891
2018-03-01,9.970000,12.300000,9.880000,10.740000,9.179016,388085714
2018-04-01,10.740000,12.100000,9.890000,11.960000,10.349014,155367784
2018-05-01,11.960000,12.980000,11.860000,12.320000,10.660522,177327030
2018-06-01,12.320000,12.540000,9.300000,10.040000,8.687634,188982910
2018-07-01,10.040000,11.360000,9.240000,10.140000,8.774165,137304035
2018-08-01,10.300000,10.560000,8.920000,9.480000,8.203064,228496942
2018-09-01,9.580000,10.040000,8.800000,9.750000,8.436697,93042703
2018-10-01,9.750000,9.880000,7.680000,8.260000,7.285915,103828845
2018-11-01,8.260000,9.920000,8.150000,9.440000,8.326759,105257433
2018-12-01,9.790000,10.760000,9.340000,10.740000,9.473453,100840666
2019-01-01,10.740000,12.360000,9.870000,11.920000,10.514298,141239344
2019-02-01,12.020000,12.400000,11.020000,11.160000,9.843924,104963476
2019-03-01,11.160000,12.720000,10.500000,10.880000,9.596944,225555902
2019-04-01,11.000000,11.360000,9.430000,9.960000,8.921123,101864492
2019-05-01,9.960000,9.960000,8.970000,9.290000,8.321007,75486304
2019-06-01,9.290000,9.290000,8.370000,8.710000,7.801504,57275048
2019-07-01,8.710000,9.050000,7.350000,7.490000,6.708756,84433926
2019-08-01,7.440000,7.470000,5.120000,5.300000,4.747184,222683732
2019-09-01,5.350000,5.890000,4.770000,4.880000,4.470332,171707646
2019-10-01,4.880000,5.300000,4.710000,5.130000,4.699346,136989923
2019-11-01,5.100000,6.250000,5.010000,5.710000,5.230655,247103584
2019-12-01,5.700000,6.190000,5.350000,5.750000,5.267297,139998101
2020-01-01,5.750000,6.890000,5.410000,5.470000,5.010803,246546274
2020-02-01,5.480000,6.710000,5.290000,5.670000,5.194014,241030041
2020-03-01,5.620000,5.890000,4.080000,4.630000,4.241320,269731440
2020-04-01,4.640000,4.970000,4.490000,4.920000,4.687090,100695355
2020-05-01,4.920000,5.400000,4.540000,4.690000,4.467978,118916060
2020-06-01,4.730000,6.380000,4.730000,6.340000,6.039868,201767609
2020-07-01,6.340000,8.150000,6.290000,7.590000,7.230693,317946253
2020-08-01,7.590000,11.500000,7.510000,8.950000,8.526312,431842425
2020-09-01,9.190000,9.650000,8.250000,8.830000,8.617602,141450949
2020-10-01,8.830000,9.600000,8.210000,8.330000,8.129630,100941408
2020-11-01,8.260000,9.250000,7.100000,7.750000,7.563581,187371903
2020-12-01,7.880000,8.350000,7.320000,8.120000,7.924681,176068579
2021-01-01,8.120000,11.300000,7.500000,10.080000,9.837535,255449085
2021-02-01,10.160000,15.120000,10.160000,11.580000,11.301454,267433780
2021-03-01,11.800000,13.180000,9.610000,10.020000,9.778979,223372402
2021-04-01,10.080000,13.360000,10.080000,13.140000,13.140000,143060127
2021-05-01,12.900000,13.680000,10.720000,11.520000,11.520000,103148659
2021-06-01,11.600000,12.080000,10.740000,11.020000,11.020000,49475260
2021-06-18,10.880000,11.060000,10.740000,11.020000,11.020000,3303117
